responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112570;RESOLUÇÃO SES;APROVADO;806;6533;;Não;;;;;417911,0;417911,0;417911,0;417911,0;417911,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112572;TRANSFERÊNCIA ESPECIAL;APROVADO;614;14835;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112573;TRANSFERÊNCIA ESPECIAL;APROVADO;569;14836;;Não;;;;;417911,0;417911,0;417911,0;417911,0;417911,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112574;TRANSFERÊNCIA ESPECIAL;APROVADO;569;14837;;Não;;;;;1000000,0;1000000,0;1000000,0;1000000,0;1000000,0;;;
PROFESSOR CLEITON;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;112580;EXECUÇÃO DIRETA;APROVADO;127;10860;542,0;Sim;Não;Obra para construção de uma piscina semi-olímpica com acessibilidade e vestiário no 9° BBM em Varginha/MG.;1,4020070000022024e+16;CONCLUÍDO;700000,0;700000,0;699000,0;647036,42;503225,55;;Economia processual;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
SAVIO DE SOUZA CRUZ;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112591;EXECUÇÃO DIRETA;REPROVADO PELO ÓRGÃO;46;7943;329,0;Sim;Não;Mobiliários para atender demanda da 6ª Cia PM Ind em Esmeraldas/MG (armários, roupeiro, mesa, sofá, estação de trabalho).;1,2599660000672024e+16;CONCLUÍDO;22,0;22,0;0,0;0,0;0,0;;Não foi necessária a utilização. É complemento da 112597.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CORONEL SANDRO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112593;RESOLUÇÃO SES;APROVADO;510;7952;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
CORONEL SANDRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112594;TRANSFERÊNCIA ESPECIAL;APROVADO;285;14838;;Não;;;;;30000,0;30000,0;30000,0;30000,0;30000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112596;RESOLUÇÃO SES;APROVADO;805;6534;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
SAVIO DE SOUZA CRUZ;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112597;EXECUÇÃO DIRETA;APROVADO;46;7943;329,0;Sim;Não;Mobiliários para atender demanda da 6ª Cia PM Ind em Esmeraldas/MG (armários, roupeiro, mesa, sofá, estação de trabalho).;1,2599660000672024e+16;CONCLUÍDO;21978,0;21978,0;21240,99;9475,99;4516,0;;Demais processos de compra da emenda ainda em andamento.;outras razões de ordem técnica devidamente justificadas.
JOAO LEITE;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112604;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;22;8908;420,0;Sim;Sim;Termo de Execução de Ata de Registro de Preços o fornecimento de kits feira livre, destinados a atender a demandas desta Secretaria, em específico a Emendas Parlamentares, referente ao exercício de 20;1,2310210000552024e+16;CONCLUÍDO;50000,0;50000,0;48641,4;6726,4;0,0;0,0;A diferença entre os valores indicados e os empenhados referem-se às economias auferidas no processo de contratação. Em relação à execução financeira da despesa, bem como a entrega dos bens, necessário esclarecer que esta Secretaria tomou as providências de contratação, porém os fornecedores não entregaram os bens no prazo previsto, o que impossibilitou a entrega aos beneficiários finais. Ao longo do exercício de 2024, tão logo os bens sejam entregues terão sua destinação final encaminhada.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112605;CELEBRAÇÃO DE CONVÊNIO;APROVADO;16;14468;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
JOAO LEITE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112607;CELEBRAÇÃO DE CONVÊNIO;APROVADO;223;13693;;Não;;;;;150000,0;146289,08;146289,08;146289,08;146289,08;;;
JOAO LEITE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112609;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;213;8853;208,0;Sim;Sim;Adesão a RP referente a aquisição kits esportivos (redes, bolas e uniformes) conforme solicitação da área demandante.;1,4812640000242024e+16;CONCLUÍDO;50000,0;37171,4;37171,4;37171,4;0,0;37171,4;Aquisição de melhor forma pelo governo do estado. ;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112611;TRANSFERÊNCIA ESPECIAL;APROVADO;305;14839;;Não;;;;;1000000,0;1000000,0;1000000,0;1000000,0;1000000,0;;;
CORONEL SANDRO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112613;RESOLUÇÃO SES;APROVADO;510;7677;;Não;;;;;600000,0;600000,0;600000,0;600000,0;600000,0;;;
JOAO LEITE;4291;FUNDO ESTADUAL DE SAÚDE;SES;112615;RESOLUÇÃO SES;APROVADO;683;6233;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
JOAO LEITE;4291;FUNDO ESTADUAL DE SAÚDE;SES;112616;RESOLUÇÃO SES;APROVADO;447;6566;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
JOAO LEITE;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112628;EXECUÇÃO DIRETA;APROVADO;45;7944;214,0;Sim;Não;Aquisição de 7 Unid. de Escudo Balístico Nível IIIA, para atender necessidades da PMMG, através de recursos provenientes de crédito de emenda parlamentar estadual Deputado Estadual João Leite;1,2500840001532024e+16;CONCLUÍDO;536630,0;536630,0;533481,35;0,0;0,0;;Objetos aguardam liquidação. ;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112629;EXECUÇÃO DIRETA;APROVADO;346;7762;198,0;Sim;Sim;Viaturas básicas caracterizadas e descaracterizadas.;119,0;EM ANDAMENTO;240000,0;190000,0;190000,0;95000,0;0,0;;Economia gerada no certame licitatório - registro de preços;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112630;TRANSFERÊNCIA ESPECIAL;APROVADO;305;14840;;Não;;;;;50000,0;50000,0;50000,0;50000,0;50000,0;;;
OSVALDO LOPES;4291;FUNDO ESTADUAL DE SAÚDE;SES;112631;RESOLUÇÃO SES;APROVADO;513;7949;;Não;;;;;2000000,0;2000000,0;2000000,0;2000000,0;2000000,0;;;
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112645;EXECUÇÃO DIRETA;APROVADO;37;7945;1516,0;Sim;Não;Equipamentos de academia para o RCAT;1,2599650000552024e+16;CONCLUÍDO;51000,0;51000,0;50435,57;49516,82;37265,16;;Saldo decorrente de economicidade.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112646;EXECUÇÃO DIRETA;APROVADO;37;10224;165,0;Sim;Não;Escudo Balístico Nível IIIA, para atender a PMMG, através de recursos de emenda Parlamentar Deputado Estadual Bartô Mem. nº 40.235.2/2023-EMPM, Mem. nº 717.6A/2023  e MSG PA 202306070061367-2306;1,2500840000802024e+16;CONCLUÍDO;37375,0;37375,0;32500,0;0,0;0,0;0,0;Liquidação pendente.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112647;EXECUÇÃO DIRETA;APROVADO;37;7986;184,0;Sim;Não;Lote 01 Roupeiros  Lote 02 Ares Condicionados instalados;1,2501650000392024e+16;CONCLUÍDO;75000,0;75000,0;73973,64;73973,64;0,0;;Conforme IOT.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112648;EXECUÇÃO DIRETA;APROVADO;37;10214;166,0;Sim;Não;Suv flex com cela.;1,2500720000232024e+16;CONCLUÍDO;190000,0;144900,0;144900,0;144900,0;0,0;0,0;Aguarda pagamento.;outras razões de ordem técnica devidamente justificadas.
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112648;EXECUÇÃO DIRETA;APROVADO;37;10215;231,0;Sim;Não;Aquisição de Rádio Móvel Cabeça Estendida.;1,2500710000732024e+16;CONCLUÍDO;190000,0;9392,0;9392,0;9392,0;0,0;0,0;Aguarda confirmação do pagamento.;outras razões de ordem técnica devidamente justificadas.
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112648;EXECUÇÃO DIRETA;APROVADO;37;10239;230,0;Sim;Não;Fuzis 5,56 x 45 mm;1,2500840001662024e+16;CONCLUÍDO;190000,0;35708,0;34725,8;0,0;0,0;0,0;Saldo decorre de economicidade. Pendente de entrega do material para liquidação.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112658;RESOLUÇÃO SES;APROVADO;409;6723;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112659;RESOLUÇÃO SES;APROVADO;409;6211;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112660;RESOLUÇÃO SES;APROVADO;409;6747;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112661;RESOLUÇÃO SES;APROVADO;409;6729;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112662;RESOLUÇÃO SES;APROVADO;409;6164;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112663;RESOLUÇÃO SES;APROVADO;409;6034;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112664;RESOLUÇÃO SES;APROVADO;409;6449;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112665;RESOLUÇÃO SES;APROVADO;409;6324;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112666;RESOLUÇÃO SES;APROVADO;409;5950;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
GUSTAVO MITRE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112667;TRANSFERÊNCIA ESPECIAL;APROVADO;316;14841;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
GUSTAVO MITRE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112668;TRANSFERÊNCIA ESPECIAL;APROVADO;316;14842;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
GUSTAVO MITRE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112669;TRANSFERÊNCIA ESPECIAL;APROVADO;316;14843;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
GUSTAVO MITRE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112670;TRANSFERÊNCIA ESPECIAL;APROVADO;316;14844;;Não;;;;;120000,0;120000,0;120000,0;120000,0;120000,0;;;
GUSTAVO MITRE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112671;TRANSFERÊNCIA ESPECIAL;APROVADO;316;14845;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
LEO PORTELA;4291;FUNDO ESTADUAL DE SAÚDE;SES;112673;RESOLUÇÃO SES;APROVADO;404;6103;;Não;;;;;866155,5;866155,5;866155,5;866155,5;866155,5;;;
LEO PORTELA;4291;FUNDO ESTADUAL DE SAÚDE;SES;112674;RESOLUÇÃO SES;APROVADO;404;6716;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
LEO PORTELA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112677;TRANSFERÊNCIA ESPECIAL;APROVADO;267;14846;;Não;;;;;5675431,0;5675431,0;5675431,0;5675431,0;5675431,0;;;
LEO PORTELA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112678;TRANSFERÊNCIA ESPECIAL;APROVADO;693;14847;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
LEO PORTELA;4291;FUNDO ESTADUAL DE SAÚDE;SES;112679;RESOLUÇÃO SES;APROVADO;694;6104;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
Partido Liberal;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112680;TRANSFERÊNCIA ESPECIAL;APROVADO;568;14848;;Não;;;;;1873822,5;1873822,5;1873822,5;1873822,5;1873822,5;;;
DELEGADA SHEILA;4291;FUNDO ESTADUAL DE SAÚDE;SES;112682;RESOLUÇÃO SES;APROVADO;811;7834;;Não;;;;;3000000,0;3000000,0;3000000,0;3000000,0;3000000,0;;;
GUILHERME DA CUNHA;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;112683;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;57;8536;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112685;TRANSFERÊNCIA ESPECIAL;APROVADO;310;14849;;Não;;;;;980000,0;980000,0;980000,0;980000,0;980000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112686;TRANSFERÊNCIA ESPECIAL;APROVADO;310;14850;;Não;;;;;350000,0;350000,0;350000,0;350000,0;350000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112688;TRANSFERÊNCIA ESPECIAL;APROVADO;310;14851;;Não;;;;;175000,0;175000,0;175000,0;175000,0;175000,0;;;
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;112689;RESOLUÇÃO SES;APROVADO;709;6106;;Não;;;;;820890,0;820890,0;820890,0;820890,0;820890,0;;;
Partido Liberal;4291;FUNDO ESTADUAL DE SAÚDE;SES;112693;RESOLUÇÃO SES;APROVADO;575;6105;;Não;;;;;1052932,5;1052932,5;1052932,5;1052932,5;1052932,5;;;
RAUL BELÉM;4291;FUNDO ESTADUAL DE SAÚDE;SES;112696;RESOLUÇÃO SES;APROVADO;815;7074;;Não;;;;;323812,0;323812,0;323812,0;323812,0;323812,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112697;TRANSFERÊNCIA ESPECIAL;APROVADO;614;14852;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112698;TRANSFERÊNCIA ESPECIAL;APROVADO;569;14853;;Não;;;;;1591733,0;1591733,0;1591733,0;1591733,0;1591733,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112699;RESOLUÇÃO SES;APROVADO;813;5975;;Não;;;;;500000,0;500000,0;500000,0;500000,0;500000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112700;RESOLUÇÃO SES;APROVADO;813;6508;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112701;RESOLUÇÃO SES;APROVADO;813;5989;;Não;;;;;400000,0;400000,0;400000,0;400000,0;400000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112702;RESOLUÇÃO SES;APROVADO;813;6365;;Não;;;;;400000,0;400000,0;400000,0;400000,0;400000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112703;RESOLUÇÃO SES;APROVADO;813;6333;;Não;;;;;311734,0;311734,0;311734,0;311734,0;311734,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112704;RESOLUÇÃO SES;APROVADO;814;6332;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
CORONEL SANDRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112705;TRANSFERÊNCIA ESPECIAL;APROVADO;285;14854;;Não;;;;;50000,0;50000,0;50000,0;50000,0;50000,0;;;
BARTO;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;112706;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;60;8635;;Não;;;;;609936,0;609936,0;609936,0;0,0;0,0;;Conforme área técnica: Não realização de procedimentos necessários à liberação do recurso dentro do prazo.;"não efetivação dos requisitos legais, regulamentares e técnicos ou condições suspensivas necessários ao pagamento ou à conclusão da execução da emenda dentro do exercício financeiro da respectiva Lei Orçamentária Anual;"
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;112707;RESOLUÇÃO SES;APROVADO;554;7217;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;112708;RESOLUÇÃO SES;APROVADO;554;7595;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;112709;RESOLUÇÃO SES;APROVADO;554;7573;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;112710;RESOLUÇÃO SES;APROVADO;554;7590;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112711;TRANSFERÊNCIA ESPECIAL;APROVADO;263;14855;;Não;;;;;420000,0;420000,0;420000,0;420000,0;420000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112712;TRANSFERÊNCIA ESPECIAL;APROVADO;263;14856;;Não;;;;;75000,0;75000,0;75000,0;75000,0;75000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112713;TRANSFERÊNCIA ESPECIAL;APROVADO;263;14857;;Não;;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112714;TRANSFERÊNCIA ESPECIAL;APROVADO;310;14858;;Não;;;;;350000,0;350000,0;350000,0;350000,0;350000,0;;;
ZÉ REIS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112715;TRANSFERÊNCIA ESPECIAL;APROVADO;263;14859;;Não;;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;
BARTO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112718;RESOLUÇÃO SES;APROVADO;597;6742;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
BARTO;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;112719;EXECUÇÃO DIRETA;APROVADO;120;10861;566,0;Sim;Não;AQUISIÇÃO DE 33 MACACÕES DE VÔO ATRAVÉS DE ADESÃO A ATA DE RP Nº 08/2023 - PRF;1,4016080000122024e+16;CONCLUÍDO;63760,0;63760,0;62370,0;0,0;0,0;;Economia processual;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
BARTO;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;112720;EXECUÇÃO DIRETA;APROVADO;121;10862;566,0;Sim;Não;AQUISIÇÃO DE HELIBALDE PARA COMBATE A INCÊNDIOS;1,4016080000172024e+16;CONCLUÍDO;230000,0;230000,0;205000,0;205000,0;0,0;;Economia processual;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;14369;105,0;Sim;Não;Mobiliários com recursos de Emendas Parlamentares Cadeira fixa  ;1,5111890002652024e+16;CONCLUÍDO;262200,0;2616,0;2616,0;0,0;0,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;8860;298,0;Sim;Não;Aquisição de impressora multifuncional e outros equipamentos.;1511189000125,0;EM ANDAMENTO;262200,0;4797,22;4797,22;0,0;0,0;;Saldo remanescente usado em outros processos de compra.;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;8092;294,0;Sim;Sim;computador básico;85,0;EM ANDAMENTO;262200,0;23100,0;23100,0;0,0;0,0;;saldo remanescente usado em outra aquisição;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;7657;38,0;Sim;Não;Aquisição de equipamentos de Eletrodomésticos visando atender as Emendas Estaduais e Federais direcionadas para a Polícia Civil de Minas Gerais. Item: fragmentadora.;1,5111890000922024e+16;CONCLUÍDO;262200,0;2811,76;2811,76;2811,76;2811,76;;Saldo remanescente será utilizado em outros procedimentos licitatórios.;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;14372;105,0;Sim;Não;Mobiliários com recursos de Emendas Parlamentares Gaveteiro volante ;1,5111890002652024e+16;CONCLUÍDO;262200,0;1616,4;1616,4;0,0;0,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;7256;23,0;Sim;Não;Aquisição de mobiliário visando atender emendas Estaduais e Federais direcionada a Polícia Civil de Minas Gerais. Item: cofre digital.;1,5111890000882024e+16;CONCLUÍDO;262200,0;11200,0;11200,0;5600,0;5600,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios.;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;8072;152,0;Sim;Sim;AQUISIÇÃO DE SCANNERS ATRAVÉS DO PREGÃO Nº 029/2020, RP Nº 088/2022 E RECURSO DE EMENDAS ESTADUAIS. SEI Nº 1510.01.0127787/2023-19.;151118900090,0;EM ANDAMENTO;262200,0;3998,99;3998,99;3998,99;3998,99;;Saldo remanescente usado em outros processos de compra.;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;7907;83,0;Sim;Não;Aquisição de mobiliário e equipamentos para a Polícia Civil de Minas Gerais, visando atender a Emendas Parlamentares. Item:  Fragmentadora;1,5111890001482024e+16;CONCLUÍDO;262200,0;8387,35;8000,0;0,0;0,0;;"Ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;8101;262,0;Sim;Sim;Aquisição de webcam;1511189121,0;EM ANDAMENTO;262200,0;321,0;321,0;321,0;321,0;;Saldo remanescente, utlizado em outro processo licitatório;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;7095;71,0;Sim;Não;Aquisição de mobiliário visando atender emendas Estaduais e Federais direcionada a Polícia Civil de Minas Gerais. Item: gaveteiro volante.;1,5111890001902024e+16;CONCLUÍDO;262200,0;2760,0;2760,0;0,0;0,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;7104;71,0;Sim;Não;Aquisição de mobiliário visando atender emendas Estaduais e Federais direcionada a Polícia Civil de Minas Gerais. Item: mesa para impressora.;1,5111890001902024e+16;CONCLUÍDO;262200,0;1480,0;1480,0;0,0;0,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios.;indicação com mais de um controle de execução cadastrado
BARTO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112721;EXECUÇÃO DIRETA;APROVADO;327;11847;72,0;Sim;Não;Mobiliários com recursos de Emendas Parlamentares Longarina de 03 lugares ;15111891902023,0;CONCLUÍDO;262200,0;3400,0;3400,0;0,0;0,0;;Saldo remanescente será utilizado em outros procedimentos licitatórios;indicação com mais de um controle de execução cadastrado
